subset,xpos,ypos
"TRAIN",0.2335433343097249,0.6549054240573937
"TRAIN",0.28832853303124173,0.5750069172744484
"TRAIN",0.8116562344806595,0.21557043330217218
"TRAIN",0.8190463189565461,0.2518552722135661
"TRAIN",0.39452358237315654,0.9389932135301016
"TRAIN",0.11114964740741395,0.4688678972509251
"TRAIN",0.5710928964473053,0.8988594087586081
"TRAIN",0.3934598346216711,0.5389749116520326
"TRAIN",0.732411036919012,0.2256472413055946
"TRAIN",0.4736678123829133,0.4218069659445091
"TRAIN",0.34860893679564975,0.9539413639950807
"TRAIN",0.2047467054579406,0.5088684846719588
"TRAIN",0.4174515106158184,0.8730638126369183
"TRAIN",0.309831376496018,0.7708143845187396
"TRAIN",0.24658179176015843,0.4312740141669101
"TRAIN",0.9592021230097785,0.4203007495971351
"TRAIN",0.5230240263000566,0.5147755388232192
"TRAIN",0.2646938742596288,0.6146748569329965
"TRAIN",0.6034712682915969,0.5455487028864816
"TRAIN",0.5366586938882743,0.5025465370784103
"TRAIN",0.48575802061332685,0.6875618559125583
"TRAIN",0.6366046407393082,0.8173524514256979
"TRAIN",0.3989192604104339,0.8528026936383184
"TRAIN",0.5881198382948725,0.92000178836553
"TRAIN",0.5857399521053059,0.9300090215821422
"TRAIN",0.5090172917029022,0.7019915760738
"TRAIN",0.5305103636852478,0.848356692800273
"TRAIN",0.28040448371251725,0.12098388220984319
"TRAIN",0.7452407091022264,0.9861364913242653
"TRAIN",0.4814425404370865,0.4459289018215923
"TRAIN",0.6124490796806468,0.6149223394776109
"TRAIN",0.36085448922409435,0.8568810560501847
"TRAIN",0.6274646220521093,0.7886353221978372
"TRAIN",0.5805065288974953,0.8149337777856402
"TRAIN",0.832447649485615,0.2295326185820949
"TRAIN",0.3692266836006395,0.8316066933831532
"TRAIN",0.39157442196289616,0.540566168882466
"TRAIN",0.34903840028512223,0.890218057100832
"TRAIN",0.6148084046243725,0.5909632754718878
"TRAIN",0.6065346997569785,0.5422951477288507
"TRAIN",0.4034730302524071,0.9836267225200584
"TRAIN",0.5241319560763317,0.5130403653648178
"TRAIN",0.5914368238264649,0.5398498184403838
"TRAIN",0.592526264995673,0.5105235126745458
"TRAIN",0.6329859319402652,0.26938707805631334
"TRAIN",0.6337257356087808,0.7946289190588548
"TRAIN",0.40738994458159594,0.5393835338655851
"TRAIN",0.6326141269122008,0.7390881342093594
"TRAIN",0.7389738812399518,0.2651090206370243
"TRAIN",0.33432708550408324,0.5428036692319423
"TRAIN",0.5860787438918147,0.5773849817181749
