subset,xpos,ypos
"TRAIN",0.1877339952770325,0.7492657234209071
"TRAIN",0.7853870601205362,0.47537837675161626
"TRAIN",0.6432804604586067,0.8492570281507965
"TRAIN",0.08796174173968291,0.637524034270859
"TRAIN",0.06866628772062633,0.40864040290186965
"TRAIN",0.030931072712708785,0.6181775216577661
"TRAIN",0.24306364430123073,0.5744769502869702
"TRAIN",0.05713890921807219,0.5238871382777935
"TRAIN",0.03050276647813832,0.36969674959887244
"TRAIN",0.057887606544770764,0.5345162961610417
"TRAIN",0.020666346963390148,0.6126841815656131
"TRAIN",0.8434871495263686,0.5242262788423209
"TRAIN",0.21226808801204905,0.5380049073426395
"TRAIN",0.8095924405153181,0.6322206386643797
"TRAIN",0.7715274250220767,0.6285749212130282
"TRAIN",0.8013050829042252,0.5276719059589126
"TRAIN",0.737469865538704,0.08936710367816314
"TRAIN",0.6219043127116204,0.8587697261797101
"TRAIN",0.7306264857060724,0.7456119758641335
"TRAIN",0.7190007734442803,0.9220815811313086
"TRAIN",0.7566932609287831,0.6726839724344694
"TRAIN",0.8444465190586683,0.5471326284802012
"TRAIN",0.20076697956140177,0.5446761898127416
"TRAIN",0.7474533454308832,0.9072166233913455
"TRAIN",0.34955932334106493,0.041795529800880915
"TRAIN",0.6491608283677677,0.8158322015187154
"TRAIN",0.7562921926089774,0.7408123234964403
"TRAIN",0.6872169817430706,0.7341416353242909
"TRAIN",0.7578475929431593,0.6595325466473023
"TRAIN",0.21147154296555976,0.5371370113491698
"TRAIN",0.05445980532810263,0.6718531585507079
"TRAIN",0.23372584568424115,0.08575062213524098
"TRAIN",0.6570602481460242,0.7630848620945574
"TRAIN",0.018968987355567624,0.5407287424232704
"TRAIN",0.23635072774639132,0.08418791140404785
"TRAIN",0.7815132340335262,0.625874221441816
"TRAIN",0.8007789051454046,0.4138888265380444
"TRAIN",0.8354696643684838,0.43548651124362364
"TRAIN",0.022849945121488635,0.510441718320547
"TRAIN",0.7499619345163833,0.34892064018289903
"TRAIN",0.21732584104431812,0.8308497749230336
"TRAIN",0.27199715455874063,0.07115809647606591
"TRAIN",0.29335897297163877,0.06247052892797561
"TRAIN",0.8313473901133089,0.5323322516106596
"TRAIN",0.09307884791837284,0.6417199892247392
"TRAIN",0.27044433400303736,0.5161657095053017
"TRAIN",0.29083608297749275,0.5545775711043497
