subset,xpos,ypos
"UNSEEN CORRECT",0.50558169394642,0.5187325875842513
"UNSEEN CORRECT",0.8218099422678468,0.7655125806571402
"UNSEEN CORRECT",0.8097927144725412,0.7552754937191082
"UNSEEN CORRECT",0.8206095263305495,0.743413624876332
"UNSEEN CORRECT",0.6514224584140904,0.5500881087263498
"UNSEEN CORRECT",0.860775377811565,0.87357093170747
"UNSEEN WRONG",0.4820110396051134,0.16355564547678175
"UNSEEN CORRECT",0.8328929123147191,0.783654737207827
"UNSEEN CORRECT",0.33757340824217685,0.32068904430830447
"UNSEEN CORRECT",0.6611257005287761,0.5528391985228813
"UNSEEN CORRECT",0.4932021663221577,0.4981967027185481
"UNSEEN CORRECT",0.7738727530368676,0.7318109432321224
"UNSEEN WRONG",0.5192354174822518,0.1544390124620298
"UNSEEN CORRECT",0.43959475728018205,0.17500703215468266
"UNSEEN CORRECT",0.2547145816579782,0.5250189869917602
"UNSEEN CORRECT",0.8592026425871857,0.7381247061765455
"UNSEEN CORRECT",0.8376602378177187,0.8611300873775319
"UNSEEN CORRECT",0.8760809836735544,0.7541773418468333
"UNSEEN CORRECT",0.21781098806230614,0.15768617797965834
"UNSEEN CORRECT",0.3109639921492806,0.3953074751867358
"UNSEEN CORRECT",0.27545609940523663,0.45999648429162665
"UNSEEN CORRECT",0.8647638010168845,0.7978078594846031
"UNSEEN CORRECT",0.24819624070418317,0.4751474085218399
"UNSEEN CORRECT",0.2970953892239123,0.3943703639880929
"UNSEEN CORRECT",0.8334150181368927,0.8894955716137896
"UNSEEN WRONG",0.4489972104347125,0.08861715882072718
"UNSEEN CORRECT",0.3530986731706329,0.522167160828541
"UNSEEN CORRECT",0.2516978862497908,0.4735353747122986
"UNSEEN CORRECT",0.31782251062549954,0.5469582851269046
"UNSEEN CORRECT",0.3316761313538259,0.3013178470900619
"UNSEEN CORRECT",0.5222294488986146,0.4814275158219039
"UNSEEN CORRECT",0.8800461059748261,0.7742964108761989
"UNSEEN CORRECT",0.3713655842339765,0.24361455331776188
"UNSEEN CORRECT",0.3273935846787337,0.8627718337000451
"UNSEEN CORRECT",0.8527947887716717,0.8673708566437346
"UNSEEN CORRECT",0.31403639598960686,0.38365945748768876
"UNSEEN CORRECT",0.30339979658003047,0.5469692509257943
"UNSEEN CORRECT",0.3430504036380701,0.32936722857641826
"UNSEEN CORRECT",0.2553626938321339,0.4764824221440395
"UNSEEN CORRECT",0.8644903201055836,0.8313010322166592
"UNSEEN CORRECT",0.8781870712896596,0.8053022875695746
"UNSEEN CORRECT",0.32436375955623203,0.3006733580065049
"UNSEEN CORRECT",0.3611564589811684,0.511378576177965
"UNSEEN CORRECT",0.3611143052284709,0.5027303060080758
"UNSEEN CORRECT",0.868365792485679,0.7119822290716519
"UNSEEN CORRECT",0.42735543559224143,0.1902234151538838
"UNSEEN CORRECT",0.24803306544607973,0.49132750684840487
"UNSEEN CORRECT",0.8405360568212681,0.869216394689228
"UNSEEN CORRECT",0.35590468449737467,0.5099893259714533
"UNSEEN CORRECT",0.8502086528412596,0.8378407496925913
"UNSEEN CORRECT",0.3100472976940549,0.4992491551368704
"UNSEEN CORRECT",0.3369066855598407,0.29602665166008413
"UNSEEN WRONG",0.4556513442300928,0.08959168572611592
"UNSEEN CORRECT",0.3378838075987658,0.5404486032250498
"UNSEEN WRONG",0.5022237811738108,0.16059851636772127
"UNSEEN CORRECT",0.3119040222051742,0.36475433382547573
"UNSEEN CORRECT",0.3435454681625316,0.33507760226304484
"UNSEEN CORRECT",0.3313938705334739,0.5016666239085765
"UNSEEN CORRECT",0.8239952495087319,0.6746592189913404
"UNSEEN CORRECT",0.8200334856534733,0.6996727467201841
"UNSEEN CORRECT",0.2648223320627204,0.5134859917175655
"UNSEEN CORRECT",0.4674214548697564,0.09053216008536108
"UNSEEN CORRECT",0.8527835314416397,0.8679679688666504
"UNSEEN CORRECT",0.2586763967091891,0.45356996226434126
"UNSEEN CORRECT",0.29028094691968676,0.11643895971836504
"UNSEEN CORRECT",0.23775110336470295,0.8003492982151141
"UNSEEN CORRECT",0.24352280325271736,0.5088909373027423
"UNSEEN CORRECT",0.3254663056259406,0.37640893830063904
"UNSEEN CORRECT",0.4333552508234247,0.183299761386635
"UNSEEN CORRECT",0.26440522005259665,0.5442283792270453
"UNSEEN CORRECT",0.33172044447941706,0.488227062583993
"UNSEEN CORRECT",0.40227807982598845,0.5234360361204339
"UNSEEN CORRECT",0.28394828906041025,0.44715353161214577
"UNSEEN CORRECT",0.3301793840402034,0.3140223333364943
"UNSEEN CORRECT",0.3244532464919917,0.4863814073137977
"UNSEEN CORRECT",0.44935217106627967,0.17147514639816003
"UNSEEN CORRECT",0.29161011499264744,0.42779743437074746
"UNSEEN CORRECT",0.30027571251709906,0.5465758747708988
"UNSEEN CORRECT",0.25747904320735127,0.4728789342595445
"UNSEEN CORRECT",0.5362607595244996,0.5036327853029455
"UNSEEN CORRECT",0.27236705185276167,0.5185185373867959
"UNSEEN CORRECT",0.4682602079860354,0.15647883782931893
"UNSEEN CORRECT",0.3835211177907032,0.22840778661408184
"UNSEEN CORRECT",0.32618920397986795,0.2922084853511591
"UNSEEN CORRECT",0.33692048811805186,0.3076492627158657
"UNSEEN WRONG",0.28264863299278076,0.8322740192746491
"UNSEEN WRONG",0.21310926613358266,0.7814076131648999
"UNSEEN CORRECT",0.6692532539125733,0.5042488736707205
"UNSEEN CORRECT",0.8749323835618155,0.7584503672221024
"UNSEEN CORRECT",0.3141604327298674,0.40926041080606956
"UNSEEN CORRECT",0.2515845054996206,0.47091013914306196
"UNSEEN CORRECT",0.7622283902045259,0.6539500625266351
"UNSEEN CORRECT",0.38112555213462507,0.07851252394190855
"UNSEEN CORRECT",0.4952737796340722,0.49492550144524017
"UNSEEN CORRECT",0.7733437272165712,0.6566983293283445
"UNSEEN CORRECT",0.6958784471458723,0.5221822730617314
"UNSEEN CORRECT",0.835598350047072,0.8204624583484956
"UNSEEN CORRECT",0.8761418413303267,0.7640186377862114
"UNSEEN CORRECT",0.43866369277533906,0.5121065661855544
"UNSEEN CORRECT",0.3850523605617264,0.465477474646584
"UNSEEN CORRECT",0.4167646015260189,0.46181585275807036
"UNSEEN WRONG",0.36716353291383963,0.2561867870818748
"UNSEEN CORRECT",0.4619159544810813,0.16470850171431795
"UNSEEN CORRECT",0.3433425378996541,0.2799880422615443
"UNSEEN CORRECT",0.15440277241744726,0.19674168958751592
"UNSEEN CORRECT",0.5292763340836659,0.48921441900668927
"UNSEEN CORRECT",0.36478201342202987,0.25737011842080526
"UNSEEN WRONG",0.40673013674135106,0.08282286128180671
"UNSEEN CORRECT",0.5092317606912878,0.10018779297535207
"UNSEEN CORRECT",0.40293715809589564,0.47221562240435583
"UNSEEN CORRECT",0.31959756985742804,0.28866215477512713
"UNSEEN CORRECT",0.336241767821434,0.3512452418047885
"UNSEEN CORRECT",0.3493448787548509,0.4888066925249948
"UNSEEN CORRECT",0.3980095345837327,0.4729631477918303
"UNSEEN CORRECT",0.8215393472687946,0.7831145165244163
"UNSEEN CORRECT",0.32471745434535754,0.3541300359956729
"UNSEEN CORRECT",0.5279642999974496,0.13644645932678684
"UNSEEN CORRECT",0.5131132132148439,0.5265558267531376
"UNSEEN CORRECT",0.2955727433217467,0.42997685148816134
"UNSEEN CORRECT",0.277176319044898,0.4118943324785394
"UNSEEN WRONG",0.4695788577840792,0.1642645449795691
"UNSEEN CORRECT",0.29136421341449636,0.39709775560285676
"UNSEEN CORRECT",0.1347789887470694,0.21410337557481496
"UNSEEN CORRECT",0.3278099653270959,0.5350025563990312
"UNSEEN CORRECT",0.29200658873285257,0.427470466245056
"UNSEEN CORRECT",0.35143843322311175,0.48136682812602277
"UNSEEN CORRECT",0.3126317247614348,0.31460898463589304
"UNSEEN WRONG",0.5200502735076916,0.15454470692519895
"UNSEEN CORRECT",0.5250138142820348,0.11650675544084088
"UNSEEN CORRECT",0.4870380661011538,0.09120627345100146
"UNSEEN CORRECT",0.4225595994848351,0.19879762943282608
"UNSEEN CORRECT",0.503961130783938,0.5119400329395941
"UNSEEN CORRECT",0.31196467077767265,0.3627556146193291
"UNSEEN CORRECT",0.24720658337433937,0.5042880977941323
"UNSEEN CORRECT",0.4090405454356517,0.0836456617829423
"UNSEEN WRONG",0.35251219738143524,0.2631751357249271
"UNSEEN CORRECT",0.8574459385193884,0.7361122676559599
"UNSEEN CORRECT",0.268042553847017,0.45968413175244466
"UNSEEN CORRECT",0.8633329350248117,0.8361999052222194
"UNSEEN WRONG",0.4865940831779313,0.09116330357413183
"UNSEEN CORRECT",0.2993556435682081,0.36506308567771595
"UNSEEN CORRECT",0.3551707978124605,0.514533542643462
"UNSEEN CORRECT",0.3639502725493049,0.5146315675378572
"UNSEEN CORRECT",0.2692823230426916,0.46155642434904964
"UNSEEN CORRECT",0.334111023881432,0.2837661994478658
"UNSEEN CORRECT",0.35359058630769946,0.5095648005969735
"UNSEEN CORRECT",0.5276589841759526,0.4923194082690606
"UNSEEN CORRECT",0.7929624560855049,0.6799096994277584
"UNSEEN CORRECT",0.2941663471518,0.42605722541938956
"UNSEEN CORRECT",0.3255886274927079,0.5283768132738079
"UNSEEN CORRECT",0.3121250655640704,0.36259798289105466
"UNSEEN CORRECT",0.41604138093409215,0.208963899560747
"UNSEEN CORRECT",0.3422004824813649,0.3282919791146413
"UNSEEN CORRECT",0.7739844572858682,0.6416523455615047
"UNSEEN CORRECT",0.33596488348627485,0.3005142582229847
"UNSEEN CORRECT",0.2809146518517523,0.5436766244284301
"UNSEEN WRONG",0.21257584895800496,0.7808809894206448
"UNSEEN CORRECT",0.6760570595346932,0.5241910191366614
"UNSEEN CORRECT",0.8381511452543526,0.8236227006236505
"UNSEEN CORRECT",0.3328408296739913,0.4863934206610037
"UNSEEN CORRECT",0.3318897943412924,0.543412172122716
"UNSEEN CORRECT",0.28310053186466,0.5498295943717774
"UNSEEN WRONG",0.5154475066862932,0.10198570115554023
"UNSEEN CORRECT",0.2996942551649874,0.5038986621144877
"UNSEEN CORRECT",0.492228664232497,0.09227414992392657
"UNSEEN CORRECT",0.31559811686765393,0.49893858610692826
"UNSEEN CORRECT",0.38067241256877904,0.4697419171608095
"UNSEEN CORRECT",0.46421356450061324,0.1641350063714549
"UNSEEN CORRECT",0.773893417971953,0.6946448541135477
"UNSEEN CORRECT",0.4129822374197913,0.5231299159365246
"UNSEEN CORRECT",0.4181651960914914,0.20148580277078837
"UNSEEN CORRECT",0.3184176241469199,0.3878675901025511
"UNSEEN CORRECT",0.289437730151176,0.42908964167669783
"UNSEEN CORRECT",0.42307708181544174,0.4652170858586001
"UNSEEN CORRECT",0.35636343029709894,0.48707261917121925
"UNSEEN CORRECT",0.5289185406222503,0.48668630212788266
"UNSEEN CORRECT",0.5305059503421061,0.11429805568256607
"UNSEEN CORRECT",0.6430150763802139,0.5203973827587971
"UNSEEN CORRECT",0.8113437212466249,0.7722026234786965
"UNSEEN CORRECT",0.4984355878645678,0.4928136057770625
"UNSEEN CORRECT",0.41456705865104904,0.2154402688511013
"UNSEEN CORRECT",0.2762857748243913,0.44511352985129105
"UNSEEN CORRECT",0.3069814482091082,0.4238487893296239
"UNSEEN CORRECT",0.7609475984403805,0.6529522135654799
"UNSEEN CORRECT",0.2539948880035452,0.4521100698390371
"UNSEEN CORRECT",0.5162801841289801,0.16171065413218838
"UNSEEN CORRECT",0.5117907307857019,0.1024010184273012
"UNSEEN CORRECT",0.5277019114354737,0.5515057800236522
"UNSEEN CORRECT",0.24713529771289183,0.49934383741466365
"UNSEEN CORRECT",0.8193568524664673,0.7387515010779854
"UNSEEN CORRECT",0.8509762808684899,0.8380633135914687
"UNSEEN WRONG",0.4346944967717173,0.18014342291623037
"UNSEEN CORRECT",0.8278974335004499,0.858166586864835
"UNSEEN CORRECT",0.8618607009684104,0.8832959473281176
"UNSEEN CORRECT",0.4317218493851369,0.4617570440588771
"UNSEEN CORRECT",0.877446401110571,0.7496210134072527
"UNSEEN CORRECT",0.28769846557498163,0.11638202852583285
"UNSEEN CORRECT",0.3152956234784936,0.5286186795817893
"UNSEEN CORRECT",0.6708380233768506,0.5098996538965085
"UNSEEN CORRECT",0.8448312197447594,0.8683015269374401
"UNSEEN CORRECT",0.8476558557619589,0.7294291541826483
"UNSEEN CORRECT",0.815824096530122,0.7752224593884297
"UNSEEN CORRECT",0.4038312312502427,0.5241304885697657
"UNSEEN CORRECT",0.8098755012186271,0.6835849472454538
"UNSEEN CORRECT",0.3008805878414326,0.35783244110478823
"UNSEEN CORRECT",0.7935280670840403,0.7110275289518425
"UNSEEN CORRECT",0.27947263805889755,0.5406051055445947
"UNSEEN CORRECT",0.3098107316926097,0.515541669508285
"UNSEEN CORRECT",0.26914608123029576,0.4488998547199381
"UNSEEN CORRECT",0.2795118608169992,0.5391305710589015
"UNSEEN CORRECT",0.7976400562685064,0.6716189712277065
"UNSEEN CORRECT",0.4734311125986217,0.09058744051238177
"UNSEEN CORRECT",0.34123195840341003,0.32177308190188014
